Day1-   letter
Day2-   letter modified
Day3-   portfolio
Day4-   clock
Day5-   calculator
Day6-   js questions
Day7-   js questions part 2
Day8-   canvas grid
Day9-   seat booking system
Day10-  memory game
Day11-  quiz
Day12-  todo-list
Day13-  github api(fetch api)
Day14-  barrel roll(event handelers)
Day15-  hello world react app(Started React)
Day16-  meme card
day17-  calorie chart
Day18-  chessboard
Day19-  counter buttons
Day20-  add delete button to calorie chart
Day21-  calorie chart-using forms
Day22-  meme generator
